"Gene ID","source_id","Organism","Product Description","Gene Type","Input ID","Gene Name or Symbol","gene_source_id"
"Tb927.11.15020","Tb927.11.15020:mRNA","T. brucei brucei TREU927","iron superoxide dismutase","protein coding","Tb927.11.15020","SODB2","Tb927.11.15020"
"Tb927.11.15040","Tb927.11.15040:mRNA","T. brucei brucei TREU927","Chaperonin HSP60, mitochondrial","protein coding","Tb927.11.15040","HSP60","Tb927.11.15040"
"Tb927.11.15070","Tb927.11.15070:mRNA","T. brucei brucei TREU927","Basal body protein","protein coding","Tb927.11.15070","BBP119","Tb927.11.15070"
"Tb927.11.15080","Tb927.11.15080:mRNA","T. brucei brucei TREU927","Transmembrane proteins 14C, putative","protein coding","Tb927.11.15080","null","Tb927.11.15080"
"Tb927.11.15090","Tb927.11.15090:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.11.15090","null","Tb927.11.15090"
"Tb927.11.15110","Tb927.11.15110:mRNA","T. brucei brucei TREU927","Vitamin B6 photo-protection and homoeostasis, putative","protein coding","Tb927.11.15110","null","Tb927.11.15110"
"Tb927.11.15130","Tb927.11.15130:mRNA","T. brucei brucei TREU927","DnaJ homolog, putative","protein coding","Tb927.11.15130","J7","Tb927.11.15130"
"Tb927.11.15140","Tb927.11.15140:mRNA","T. brucei brucei TREU927","bilobe region protein, putative","protein coding","Tb927.11.15140","null","Tb927.11.15140"
"Tb927.11.15150","Tb927.11.15150:mRNA","T. brucei brucei TREU927","1-acyl-sn-glycerol-3-phosphate acyltransferase, putative","protein coding","Tb927.11.15150","null","Tb927.11.15150"
"Tb927.11.15160","Tb927.11.15160:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.11.15160","null","Tb927.11.15160"
"Tb927.11.15170","Tb927.11.15170:mRNA","T. brucei brucei TREU927","ribosome biogenesis protein TSR3, putative","protein coding","Tb927.11.15170","tsr3","Tb927.11.15170"
"Tb927.11.15180","Tb927.11.15180:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.11.15180","null","Tb927.11.15180"
"Tb927.11.15190","Tb927.11.15190:mRNA","T. brucei brucei TREU927","Domain of unknown function (DUF4200), putative","protein coding","Tb927.11.15190","null","Tb927.11.15190"
"Tb927.11.15240","Tb927.11.15240:mRNA","T. brucei brucei TREU927","Ras-related protein RAB2B, putative","protein coding","Tb927.11.15240","RAB2B","Tb927.11.15240"
"Tb927.11.15270","Tb927.11.15270:mRNA","T. brucei brucei TREU927","phosphopantetheine adenylyltransferase, putative","protein coding","Tb927.11.15270","PPAT","Tb927.11.15270"
"Tb927.11.15280","Tb927.11.15280:mRNA","T. brucei brucei TREU927","tRNA-sepcific adenosine deaminase","protein coding","Tb927.11.15280","ADAT3","Tb927.11.15280"
"Tb927.11.15300","Tb927.11.15300:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.11.15300","null","Tb927.11.15300"
"Tb927.11.15330","Tb927.11.15330:mRNA","T. brucei brucei TREU927","phosphatidylinositol 3-kinase catalytic subunit, putative","protein coding","Tb927.11.15330","null","Tb927.11.15330"
"Tb927.11.15340","Tb927.11.15340:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.11.15340","null","Tb927.11.15340"
"Tb927.11.15370","Tb927.11.15370:mRNA","T. brucei brucei TREU927","Importin subunit beta-4, putative","protein coding","Tb927.11.15370","KAP123","Tb927.11.15370"
"Tb927.11.15380","Tb927.11.15380:mRNA","T. brucei brucei TREU927","hypothetical protein","protein coding","Tb927.11.15380","null","Tb927.11.15380"
"Tb927.11.1540","Tb927.11.1540:mRNA","T. brucei brucei TREU927","isovaleryl-CoA dehydrogenase","protein coding","Tb927.11.1540","IVDH","Tb927.11.1540"
"Tb927.11.15400","Tb927.11.15400:mRNA","T. brucei brucei TREU927","synaptobrevin, putative","protein coding","Tb927.11.15400","null","Tb927.11.15400"
"Tb927.11.15410","Tb927.11.15410:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.11.15410","null","Tb927.11.15410"
"Tb927.11.15420","Tb927.11.15420:mRNA","T. brucei brucei TREU927","eukaryotic translation initiation factor 3 subunit k","protein coding","Tb927.11.15420","EIF3K","Tb927.11.15420"
"Tb927.11.15430","Tb927.11.15430:mRNA","T. brucei brucei TREU927","U5 small nuclear ribonucleoprotein component, putative","protein coding","Tb927.11.15430","null","Tb927.11.15430"
"Tb927.11.15440","Tb927.11.15440:mRNA","T. brucei brucei TREU927","NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit, putative","protein coding","Tb927.11.15440","TAP151","Tb927.11.15440"
"Tb927.11.15460","Tb927.11.15460:mRNA","T. brucei brucei TREU927","ATP-dependent DEAD/H RNA helicase, putative","protein coding","Tb927.11.15460","null","Tb927.11.15460"
"Tb927.11.15470","Tb927.11.15470:mRNA","T. brucei brucei TREU927","methionyl-tRNA formyltransferase","protein coding","Tb927.11.15470","null","Tb927.11.15470"
"Tb927.11.15480","Tb927.11.15480:mRNA","T. brucei brucei TREU927","heat shock protein Hsp20, putative","protein coding","Tb927.11.15480","ACDP","Tb927.11.15480"
"Tb927.11.15520","Tb927.11.15520:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.11.15520","null","Tb927.11.15520"
"Tb927.11.15530","Tb927.11.15530:mRNA","T. brucei brucei TREU927","C-14 sterol reductase, putative","protein coding","Tb927.11.15530","null","Tb927.11.15530"
"Tb927.11.15550","Tb927.11.15550:mRNA","T. brucei brucei TREU927","NADH-cytochrome b5 reductase, putative","protein coding","Tb927.11.15550","B5R","Tb927.11.15550"
"Tb927.11.15570","Tb927.11.15570:mRNA","T. brucei brucei TREU927","Pentatricopeptide repeat protein (PPR), putative","protein coding","Tb927.11.15570","null","Tb927.11.15570"
"Tb927.11.15580","Tb927.11.15580:mRNA","T. brucei brucei TREU927","TFIIF-like transcription factor subunit 2","protein coding","Tb927.11.15580","TFL2","Tb927.11.15580"
"Tb927.11.15590","Tb927.11.15590:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.11.15590","null","Tb927.11.15590"
"Tb927.11.1560","Tb927.11.1560:mRNA","T. brucei brucei TREU927","1,2-Dihydroxy-3-keto-5-methylthiopentene dioxygenase, putative","protein coding","Tb927.11.1560","null","Tb927.11.1560"
"Tb927.11.15600","Tb927.11.15600:mRNA","T. brucei brucei TREU927","histone deacetylase 2","protein coding","Tb927.11.15600","HDAC2","Tb927.11.15600"
"Tb927.11.15610","Tb927.11.15610:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.11.15610","null","Tb927.11.15610"
"Tb927.11.15620","Tb927.11.15620:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.11.15620","null","Tb927.11.15620"
"Tb927.11.15630","Tb927.11.15630:mRNA","T. brucei brucei TREU927","NOL1/NOP2/sun family, putative","protein coding","Tb927.11.15630","null","Tb927.11.15630"
"Tb927.11.15660","Tb927.11.15660:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.11.15660","null","Tb927.11.15660"
"Tb927.11.15700","Tb927.11.15700:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.11.15700","null","Tb927.11.15700"
"Tb927.11.15710","Tb927.11.15710:mRNA","T. brucei brucei TREU927","mediator of rna polymerase ii transcription subunit 1","protein coding","Tb927.11.15710","MED-T1","Tb927.11.15710"
"Tb927.11.15740","Tb927.11.15740:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.11.15740","null","Tb927.11.15740"
"Tb927.11.15750","Tb927.11.15750:mRNA","T. brucei brucei TREU927","AMP deaminase, putative","protein coding","Tb927.11.15750","null","Tb927.11.15750"
"Tb927.11.15770","Tb927.11.15770:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.11.15770","null","Tb927.11.15770"
"Tb927.11.15790","Tb927.11.15790:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.11.15790","null","Tb927.11.15790"
"Tb927.11.1580","Tb927.11.1580:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.11.1580","null","Tb927.11.1580"
"Tb927.11.15800","Tb927.11.15800:mRNA","T. brucei brucei TREU927","Cytokinesis initiation factor 1","protein coding","Tb927.11.15800","CIF1","Tb927.11.15800"
"Tb927.11.15810","Tb927.11.15810:mRNA","T. brucei brucei TREU927","NADH-ubiquinone oxidoreductase B22 subunit","protein coding","Tb927.11.15810","NDUFB9","Tb927.11.15810"
"Tb927.11.15830","Tb927.11.15830:mRNA","T. brucei brucei TREU927","RNA methyltransferase, putative","protein coding","Tb927.11.15830","null","Tb927.11.15830"
"Tb927.11.15880","Tb927.11.15880:mRNA","T. brucei brucei TREU927","60S ribosomal protein L27, putative","protein coding","Tb927.11.15880","null","Tb927.11.15880"
"Tb927.11.15900","Tb927.11.15900:mRNA","T. brucei brucei TREU927","60S ribosomal protein L27, putative","protein coding","Tb927.11.15900","null","Tb927.11.15900"
"Tb927.11.15910","Tb927.11.15910:mRNA","T. brucei brucei TREU927","iron superoxide dismutase","protein coding","Tb927.11.15910","SODB1","Tb927.11.15910"
"Tb927.11.15920","Tb927.11.15920:mRNA","T. brucei brucei TREU927","glutathione peroxidase, putative","protein coding","Tb927.11.15920","null","Tb927.11.15920"
"Tb927.11.15940","Tb927.11.15940:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.11.15940","null","Tb927.11.15940"
"Tb927.11.15950","Tb927.11.15950:mRNA","T. brucei brucei TREU927","amino acid transporter, putative","protein coding","Tb927.11.15950","null","Tb927.11.15950"
"Tb927.11.15960","Tb927.11.15960:mRNA","T. brucei brucei TREU927","amino acid transporter, putative","protein coding","Tb927.11.15960","null","Tb927.11.15960"
"Tb927.11.15980","Tb927.11.15980:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.11.15980","null","Tb927.11.15980"
"Tb927.11.15990","Tb927.11.15990:mRNA","T. brucei brucei TREU927","Nucleoporin NUP109","protein coding","Tb927.11.15990","NUP109","Tb927.11.15990"
"Tb927.11.1600","Tb927.11.1600:mRNA","T. brucei brucei TREU927","tatD related deoxyribonuclease, putative","protein coding","Tb927.11.1600","null","Tb927.11.1600"
"Tb927.11.16000","Tb927.11.16000:mRNA","T. brucei brucei TREU927","exonuclease, putative","protein coding","Tb927.11.16000","null","Tb927.11.16000"
"Tb927.11.16030","Tb927.11.16030:mRNA","T. brucei brucei TREU927","proteasome regulatory non-ATP-ase subunit 7","protein coding","Tb927.11.16030","RPN7","Tb927.11.16030"
"Tb927.11.16040","Tb927.11.16040:mRNA","T. brucei brucei TREU927","prefoldin subunit, putative","protein coding","Tb927.11.16040","null","Tb927.11.16040"
"Tb927.11.16060","Tb927.11.16060:mRNA","T. brucei brucei TREU927","zinc finger protein, putative","protein coding","Tb927.11.16060","null","Tb927.11.16060"
"Tb927.11.16070","Tb927.11.16070:mRNA","T. brucei brucei TREU927","TFIIH basal transcription factor subunit","protein coding","Tb927.11.16070","p34","Tb927.11.16070"
"Tb927.11.16090","Tb927.11.16090:mRNA","T. brucei brucei TREU927","Outer dynein arm docking complex protein 2, putative","protein coding","Tb927.11.16090","dDC2","Tb927.11.16090"
"Tb927.11.1610","Tb927.11.1610:mRNA","T. brucei brucei TREU927","Exocyst complex component Sec6, putative","protein coding","Tb927.11.1610","null","Tb927.11.1610"
"Tb927.11.16100","Tb927.11.16100:mRNA","T. brucei brucei TREU927","ubiquitin carboxyl-terminal hydrolase, putative","protein coding","Tb927.11.16100","null","Tb927.11.16100"
"Tb927.11.16110","Tb927.11.16110:mRNA","T. brucei brucei TREU927","integrin alpha chain protein, putative","protein coding","Tb927.11.16110","null","Tb927.11.16110"
"Tb927.11.16120","Tb927.11.16120:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.11.16120","null","Tb927.11.16120"
"Tb927.11.16130","Tb927.11.16130:mRNA","T. brucei brucei TREU927","nucleoside diphosphate kinase","protein coding","Tb927.11.16130","NDPK","Tb927.11.16130"
"Tb927.11.16140","Tb927.11.16140:mRNA","T. brucei brucei TREU927","DNA replication licensing factor MCM7","protein coding","Tb927.11.16140","MCM7","Tb927.11.16140"
"Tb927.11.16190","Tb927.11.16190:mRNA","T. brucei brucei TREU927","hypothetical protein","protein coding","Tb927.11.16190","null","Tb927.11.16190"
"Tb927.11.16200","Tb927.11.16200:mRNA","T. brucei brucei TREU927","cytoskeleton-associated protein 17","protein coding","Tb927.11.16200","CAP17","Tb927.11.16200"
"Tb927.11.16210","Tb927.11.16210:mRNA","T. brucei brucei TREU927","cAMP response protein 1, putative","protein coding","Tb927.11.16210","CARP1","Tb927.11.16210"
"Tb927.11.16220","Tb927.11.16220:mRNA","T. brucei brucei TREU927","Cytochrome b-c1 complex subunit, putative","protein coding","Tb927.11.16220","null","Tb927.11.16220"
"Tb927.11.16230","Tb927.11.16230:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.11.16230","null","Tb927.11.16230"
"Tb927.11.16260","Tb927.11.16260:mRNA","T. brucei brucei TREU927","SPRY domain/HECT-domain (ubiquitin-transferase), putative","protein coding","Tb927.11.16260","null","Tb927.11.16260"
"Tb927.11.16270","Tb927.11.16270:mRNA","T. brucei brucei TREU927","TFIIH basal transcription factor complex helicase XPB subunit, putative","protein coding","Tb927.11.16270","null","Tb927.11.16270"
"Tb927.11.1630","Tb927.11.1630:mRNA","T. brucei brucei TREU927","LSU ribosomal protein, mitochondrial, putative","protein coding","Tb927.11.1630","null","Tb927.11.1630"
"Tb927.11.16300","Tb927.11.16300:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.11.16300","null","Tb927.11.16300"
"Tb927.11.16310","Tb927.11.16310:mRNA","T. brucei brucei TREU927","Unconventional myosin","protein coding","Tb927.11.16310","MYO13","Tb927.11.16310"
"Tb927.11.16330","Tb927.11.16330:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.11.16330","null","Tb927.11.16330"
"Tb927.11.16340","Tb927.11.16340:mRNA","T. brucei brucei TREU927","Importin-beta N-terminal domain/HEAT-like repeat, putative","protein coding","Tb927.11.16340","null","Tb927.11.16340"
"Tb927.11.16350","Tb927.11.16350:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.11.16350","null","Tb927.11.16350"
"Tb927.11.16360","Tb927.11.16360:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.11.16360","null","Tb927.11.16360"
"Tb927.11.16370","Tb927.11.16370:mRNA","T. brucei brucei TREU927","SHQ1 protein, putative","protein coding","Tb927.11.16370","null","Tb927.11.16370"
"Tb927.11.16380","Tb927.11.16380:mRNA","T. brucei brucei TREU927","TPR repeat, putative","protein coding","Tb927.11.16380","null","Tb927.11.16380"
"Tb927.11.1640","Tb927.11.1640:mRNA","T. brucei brucei TREU927","Stumpy formation signalling pathway protein, putative","protein coding","Tb927.11.1640","null","Tb927.11.1640"
"Tb927.11.16400","Tb927.11.16400:mRNA","T. brucei brucei TREU927","kinetoplast-associated protein 3, putative","protein coding","Tb927.11.16400","KAP3","Tb927.11.16400"
"Tb927.11.16410","Tb927.11.16410:mRNA","T. brucei brucei TREU927","enolase, putative","protein coding","Tb927.11.16410","null","Tb927.11.16410"
"Tb927.11.16420","Tb927.11.16420:mRNA","T. brucei brucei TREU927","Methyltransferase TYW3, putative","protein coding","Tb927.11.16420","null","Tb927.11.16420"
"Tb927.11.16430","Tb927.11.16430:mRNA","T. brucei brucei TREU927","18 kDa ER-associated protein","protein coding","Tb927.11.16430","ERAP18","Tb927.11.16430"
"Tb927.11.16450","Tb927.11.16450:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.11.16450","null","Tb927.11.16450"
"Tb927.11.16460","Tb927.11.16460:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.11.16460","null","Tb927.11.16460"
"Tb927.11.16470","Tb927.11.16470:mRNA","T. brucei brucei TREU927","SUMO-interacting motif-containing protein","protein coding","Tb927.11.16470","null","Tb927.11.16470"
"Tb927.11.16480","Tb927.11.16480:mRNA","T. brucei brucei TREU927","enoyl-CoA hydratase/isomerase family protein, putative","protein coding","Tb927.11.16480","null","Tb927.11.16480"
"Tb927.11.1650","Tb927.11.1650:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.11.1650","null","Tb927.11.1650"
"Tb927.11.16500","Tb927.11.16500:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.11.16500","null","Tb927.11.16500"
"Tb927.11.16510","Tb927.11.16510:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.11.16510","null","Tb927.11.16510"
"Tb927.11.16530","Tb927.11.16530:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.11.16530","null","Tb927.11.16530"
"Tb927.11.16550","Tb927.11.16550:mRNA","T. brucei brucei TREU927","Zinc finger protein, C3H1 type-like","protein coding","Tb927.11.16550","ZC3H46","Tb927.11.16550"
"Tb927.11.16580","Tb927.11.16580:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.11.16580","null","Tb927.11.16580"
"Tb927.11.16610","Tb927.11.16610:mRNA","T. brucei brucei TREU927","zinc-finger of a C2HC-type, putative","protein coding","Tb927.11.16610","null","Tb927.11.16610"
"Tb927.11.16630","Tb927.11.16630:mRNA","T. brucei brucei TREU927","major facilitator superfamily, putative","protein coding","Tb927.11.16630","null","Tb927.11.16630"
"Tb927.11.16640","Tb927.11.16640:mRNA","T. brucei brucei TREU927","Uncharacterised protein family UPF0564, putative","protein coding","Tb927.11.16640","TZP87","Tb927.11.16640"
"Tb927.11.16650","Tb927.11.16650:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.11.16650","null","Tb927.11.16650"
"Tb927.11.16660","Tb927.11.16660:mRNA","T. brucei brucei TREU927","Dopey, N-terminal, putative","protein coding","Tb927.11.16660","null","Tb927.11.16660"
"Tb927.11.16680","Tb927.11.16680:mRNA","T. brucei brucei TREU927","tRNA pseudouridine synthase D (TruD), putative","protein coding","Tb927.11.16680","null","Tb927.11.16680"
"Tb927.11.16700","Tb927.11.16700:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.11.16700","null","Tb927.11.16700"
"Tb927.11.16720","Tb927.11.16720:mRNA","T. brucei brucei TREU927","mitotic cyclin 6","protein coding","Tb927.11.16720","CYC6","Tb927.11.16720"
"Tb927.11.16730","Tb927.11.16730:mRNA","T. brucei brucei TREU927","dihydrolipoyl dehydrogenase","protein coding","Tb927.11.16730","GCVL-2","Tb927.11.16730"
"Tb927.11.16760","Tb927.11.16760:mRNA","T. brucei brucei TREU927","T-complex protein 1, alpha subunit, putative","protein coding","Tb927.11.16760","TCP-1-alpha","Tb927.11.16760"
"Tb927.11.16770","Tb927.11.16770:mRNA","T. brucei brucei TREU927","glucosamine-6-phosphate isomerase, putative","protein coding","Tb927.11.16770","null","Tb927.11.16770"
"Tb927.11.16810","Tb927.11.16810:mRNA","T. brucei brucei TREU927","dynein light intermediate chain D1bLIC, putative","protein coding","Tb927.11.16810","null","Tb927.11.16810"
"Tb927.11.16820","Tb927.11.16820:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.11.16820","null","Tb927.11.16820"
"Tb927.11.16830","Tb927.11.16830:mRNA","T. brucei brucei TREU927","Rab-like 5, small G protein","protein coding","Tb927.11.16830","RABL5","Tb927.11.16830"
"Tb927.11.16840","Tb927.11.16840.2","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.11.16840.2","null","Tb927.11.16840"
"Tb927.11.16850","Tb927.11.16850:mRNA","T. brucei brucei TREU927","Golgi transport complex subunit 5, putative","protein coding","Tb927.11.16850","null","Tb927.11.16850"
"Tb927.11.16890","Tb927.11.16890:mRNA","T. brucei brucei TREU927","Tetratricopeptide-like helical domain containing protein","protein coding","Tb927.11.16890","FLAM7","Tb927.11.16890"
"Tb927.11.16920","Tb927.11.16920:mRNA","T. brucei brucei TREU927","VSG exclusion protein 1","protein coding","Tb927.11.16920","VEX1","Tb927.11.16920"
"Tb927.11.16930","Tb927.11.16930:mRNA","T. brucei brucei TREU927","ABC transporter of the mitochondrion, putative","protein coding","Tb927.11.16930","ABCB7","Tb927.11.16930"
"Tb927.11.16970","Tb927.11.16970:mRNA","T. brucei brucei TREU927","protein phosphatase 4, putative","protein coding","Tb927.11.16970","null","Tb927.11.16970"
"Tb927.11.16980","Tb927.11.16980:mRNA","T. brucei brucei TREU927","chaperone protein DnaJ, putative","protein coding","Tb927.11.16980","J1","Tb927.11.16980"
"Tb927.11.1700","Tb927.11.1700:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.11.1700","null","Tb927.11.1700"
"Tb927.11.17000","Tb927.11.17000:mRNA","T. brucei brucei TREU927","AIR9-like protein","protein coding","Tb927.11.17000","AIR9","Tb927.11.17000"
"Tb927.11.17020","Tb927.11.17020:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.11.17020","null","Tb927.11.17020"
"Tb927.11.1720","Tb927.11.1720:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.11.1720","null","Tb927.11.1720"
"Tb927.11.1730","Tb927.11.1730:mRNA","T. brucei brucei TREU927","hypothetical protein","protein coding","Tb927.11.1730","null","Tb927.11.1730"
"Tb927.11.1750","Tb927.11.1750:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.11.1750","null","Tb927.11.1750"
"Tb927.11.1760","Tb927.11.1760:mRNA","T. brucei brucei TREU927","JmjC domain, hydroxylase, putative","protein coding","Tb927.11.1760","null","Tb927.11.1760"
"Tb927.11.1770","Tb927.11.1770:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.11.1770","null","Tb927.11.1770"
"Tb927.11.17870","Tb927.11.17870:mRNA","T. brucei brucei TREU927","variant surface glycoprotein (VSG), interrupted","protein coding","Tb927.11.17870","null","Tb927.11.17870"
"Tb927.11.1790","Tb927.11.1790:mRNA","T. brucei brucei TREU927","histone H1","protein coding","Tb927.11.1790","null","Tb927.11.1790"
"Tb927.11.180","Tb927.11.180:mRNA","T. brucei brucei TREU927","electron transfer flavoprotein, putative","protein coding","Tb927.11.180","null","Tb927.11.180"
"Tb927.11.1800","Tb927.11.1800:mRNA","T. brucei brucei TREU927","histone H1","protein coding","Tb927.11.1800","null","Tb927.11.1800"
"Tb927.11.1810","Tb927.11.1810:mRNA","T. brucei brucei TREU927","Ring finger domain containing protein, putative","protein coding","Tb927.11.1810","null","Tb927.11.1810"
"Tb927.11.1830","Tb927.11.1830:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.11.1830","null","Tb927.11.1830"
"Tb927.11.1850","Tb927.11.1850:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.11.1850","null","Tb927.11.1850"
"Tb927.11.1860","Tb927.11.1860:mRNA","T. brucei brucei TREU927","histone H1","protein coding","Tb927.11.1860","null","Tb927.11.1860"
"Tb927.11.1890","Tb927.11.1890:mRNA","T. brucei brucei TREU927","Serine-threonine kinase receptor-associated protein, putative","protein coding","Tb927.11.1890","STRAP","Tb927.11.1890"
"Tb927.11.190","Tb927.11.190:mRNA","T. brucei brucei TREU927","elongation factor, putative","protein coding","Tb927.11.190","null","Tb927.11.190"
"Tb927.11.1900","Tb927.11.1900:mRNA","T. brucei brucei TREU927","T-complex protein 1, beta subunit, putative","protein coding","Tb927.11.1900","null","Tb927.11.1900"
"Tb927.11.1930","Tb927.11.1930:mRNA","T. brucei brucei TREU927","ubiquitin carboxyl-terminal hydrolase, putative","protein coding","Tb927.11.1930","null","Tb927.11.1930"
"Tb927.11.1940","Tb927.11.1940:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.11.1940","null","Tb927.11.1940"
"Tb927.11.1950","Tb927.11.1950:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.11.1950","null","Tb927.11.1950"
"Tb927.11.1960","Tb927.11.1960:mRNA","T. brucei brucei TREU927","leucine-rich repeat protein (LRRP), putative","protein coding","Tb927.11.1960","null","Tb927.11.1960"
"Tb927.11.1970","Tb927.11.1970:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.11.1970","null","Tb927.11.1970"
"Tb927.11.1980","Tb927.11.1980:mRNA","T. brucei brucei TREU927","zinc finger protein family member, putative","protein coding","Tb927.11.1980","ZC3H41","Tb927.11.1980"
"Tb927.11.1990","Tb927.11.1990:mRNA","T. brucei brucei TREU927","arginyl-tRNA synthetase, putative","protein coding","Tb927.11.1990","null","Tb927.11.1990"
"Tb927.11.2000","Tb927.11.2000:mRNA","T. brucei brucei TREU927","Cupin-like domain containing protein, putative","protein coding","Tb927.11.2000","null","Tb927.11.2000"
"Tb927.11.2010","Tb927.11.2010:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.11.2010","null","Tb927.11.2010"
"Tb927.11.2030","Tb927.11.2030:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.11.2030","null","Tb927.11.2030"
"Tb927.11.2050","Tb927.11.2050:mRNA","T. brucei brucei TREU927","60S acidic ribosomal protein P0, putative","protein coding","Tb927.11.2050","null","Tb927.11.2050"
"Tb927.11.2070","Tb927.11.2070:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.11.2070","null","Tb927.11.2070"
"Tb927.11.20730","Tb927.11.20730:mRNA","T. brucei brucei TREU927","glycerophosphoryl diester phosphodiesterase, putative","protein coding","Tb927.11.20730","null","Tb927.11.20730"
"Tb927.11.2090","Tb927.11.2090:mRNA","T. brucei brucei TREU927","choline kinase","protein coding","Tb927.11.2090","EK1","Tb927.11.2090"
"Tb927.11.210","Tb927.11.210:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.11.210","null","Tb927.11.210"
"Tb927.11.2100","Tb927.11.2100:mRNA","T. brucei brucei TREU927","Divergent AAA domain containing protein, putative","protein coding","Tb927.11.2100","null","Tb927.11.2100"
"Tb927.11.2110","Tb927.11.2110:mRNA","T. brucei brucei TREU927","Snf7, putative","protein coding","Tb927.11.2110","null","Tb927.11.2110"
"Tb927.11.2120","Tb927.11.2120:mRNA","T. brucei brucei TREU927","CBF/Mak21 family, putative","protein coding","Tb927.11.2120","null","Tb927.11.2120"
"Tb927.11.2130","Tb927.11.2130:mRNA","T. brucei brucei TREU927","proteasome regulatory non-ATP-ase subunit 3","protein coding","Tb927.11.2130","RPN3","Tb927.11.2130"
"Tb927.11.2150","Tb927.11.2150:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.11.2150","null","Tb927.11.2150"
"Tb927.11.2160","Tb927.11.2160:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.11.2160","null","Tb927.11.2160"
"Tb927.11.2180","Tb927.11.2180:mRNA","T. brucei brucei TREU927","hypothetical protein, conserved","protein coding","Tb927.11.2180","null","Tb927.11.2180"
"Tb927.11.2190","Tb927.11.2190:mRNA","T. brucei brucei TREU927","MICOS complex subunit MIC10-2","protein coding","Tb927.11.2190","MIC10-2","Tb927.11.2190"
